,S.N.,Date,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
0,1,2017-06-28,ADBL,61,428.00,415.00,428.00,10162.00,4287790.00,422.00,6.00
1,1,2017-06-28,NBL,95,340.00,333.00,335.00,64518.00,21693289.00,339.00,-4.00
2,1,2017-06-28,NMB,45,549.00,538.00,540.00,6559.00,3556439.00,544.00,-4.00
3,1,2017-06-28,NLIC,139,2059.00,2045.00,2045.00,7450.00,15271265.00,2075.00,-30.00
4,1,2017-06-28,AHPC,9,268.00,262.00,268.00,2666.00,702794.00,268.00,0.00
5,1,2017-07-02,ADBL,94,430.00,419.00,428.00,14946.00,6315356.00,428.00,0.00
6,1,2017-07-02,NBL,83,336.00,326.00,334.00,50643.00,16737097.00,335.00,-1.00
7,1,2017-07-02,NMB,64,540.00,530.00,530.00,8005.00,4254012.00,540.00,-10.00
8,1,2017-07-02,NLIC,696,2010.00,1993.00,2005.00,25322.00,50645596.00,2045.00,-40.00
9,1,2017-07-02,AHPC,24,265.00,258.00,263.00,3841.00,1002855.00,268.00,-5.00
10,1,2017-07-03,ADBL,51,430.00,420.00,423.00,7794.00,3311499.00,428.00,-5.00
11,1,2017-07-03,NBL,46,338.00,329.00,329.00,17655.00,5887185.00,334.00,-5.00
12,1,2017-07-03,NMB,69,537.00,530.00,531.00,9042.00,4818026.00,530.00,1.00
13,1,2017-07-03,NLIC,706,2025.00,1992.00,2025.00,17892.00,35900066.00,2005.00,20.00
14,1,2017-07-03,AHPC,23,270.00,262.00,270.00,4820.00,1272857.00,263.00,7.00
15,1,2017-07-04,ADBL,80,426.00,419.00,420.00,13712.00,5768673.00,423.00,-3.00
16,1,2017-07-04,NBL,61,342.00,330.00,338.00,22940.00,7705198.00,329.00,9.00
17,1,2017-07-04,NMB,30,532.00,526.00,526.00,5806.00,3074254.00,531.00,-5.00
18,1,2017-07-04,NLIC,620,2011.00,2000.00,2000.00,11027.00,22109196.00,2025.00,-25.00
19,1,2017-07-04,AHPC,18,267.00,260.00,263.00,15104.00,3979034.00,270.00,-7.00
20,1,2017-07-05,ADBL,73,425.00,419.00,425.00,11348.00,4786382.00,420.00,5.00
21,1,2017-07-05,NBL,117,341.00,334.00,341.00,50962.00,17204602.00,338.00,3.00
22,1,2017-07-05,NMB,54,532.00,520.00,532.00,6232.00,3276685.00,526.00,6.00
23,1,2017-07-05,NLIC,970,2050.00,1999.00,2049.00,23846.00,47919052.00,2000.00,49.00
24,1,2017-07-05,AHPC,20,270.00,258.00,270.00,3728.00,972449.00,263.00,7.00
25,1,2017-07-06,ADBL,93,437.00,425.00,437.00,18660.00,7970364.00,425.00,12.00
26,1,2017-07-06,NBL,152,355.00,341.00,349.00,65711.00,22824105.00,341.00,8.00
27,1,2017-07-06,NMB,79,549.00,538.00,543.00,15255.00,8254677.00,532.00,11.00
28,1,2017-07-06,NLIC,777,2180.00,2049.00,2170.00,26116.00,54950302.00,2049.00,121.00
29,1,2017-07-06,AHPC,23,290.00,268.00,290.00,5233.00,1435371.00,270.00,20.00
30,1,2017-07-09,ADBL,95,446.00,430.00,441.00,20091.00,8794058.00,437.00,4.00
31,1,2017-07-09,NBL,230,370.00,349.00,360.00,94284.00,33973265.00,349.00,11.00
32,1,2017-07-09,NMB,70,564.00,528.00,555.00,14587.00,8050481.00,543.00,12.00
33,1,2017-07-09,NLIC,688,2260.00,2058.00,2178.00,42510.00,92799971.00,2170.00,8.00
34,1,2017-07-09,AHPC,122,300.00,270.00,287.00,93320.00,26968513.00,290.00,-3.00
35,1,2017-07-10,ADBL,81,440.00,430.00,433.00,12785.00,5585373.00,441.00,-8.00
36,1,2017-07-10,NBL,103,365.00,355.00,356.00,36021.00,12911124.00,360.00,-4.00
37,1,2017-07-10,NMB,64,560.00,526.00,536.00,8157.00,4475085.00,555.00,-19.00
38,1,2017-07-10,NLIC,583,2185.00,2130.00,2141.00,17950.00,38604552.00,2178.00,-37.00
39,1,2017-07-10,AHPC,25,292.00,280.00,280.00,15172.00,4293973.00,287.00,-7.00
40,1,2017-07-11,ADBL,68,440.00,430.00,435.00,9864.00,4318391.00,433.00,2.00
41,1,2017-07-11,NBL,63,365.00,354.00,360.00,22266.00,8025698.00,356.00,4.00
42,1,2017-07-11,NMB,57,554.00,540.00,552.00,10846.00,5966265.00,536.00,16.00
43,1,2017-07-11,NLIC,537,2178.00,2121.00,2160.00,22896.00,48989833.00,2141.00,19.00
44,1,2017-07-11,AHPC,23,289.00,280.00,281.00,6088.00,1729662.00,280.00,1.00
45,1,2017-07-12,ADBL,63,440.00,432.00,432.00,8794.00,3825056.00,435.00,-3.00
46,1,2017-07-12,NBL,35,364.00,359.00,363.00,7790.00,2820990.00,360.00,3.00
47,1,2017-07-12,NMB,40,552.00,546.00,550.00,5741.00,3092056.00,552.00,-2.00
48,1,2017-07-12,NLIC,397,2176.00,2140.00,2164.00,12770.00,27655690.00,2160.00,4.00
49,1,2017-07-12,AHPC,32,285.00,276.00,278.00,3725.00,1043489.00,281.00,-3.00
50,1,2017-07-13,ADBL,84,437.00,430.00,435.00,12875.00,5549593.00,432.00,3.00
51,1,2017-07-13,NBL,78,370.00,353.00,364.00,22379.00,8150043.00,363.00,1.00
52,1,2017-07-13,NMB,70,555.00,540.00,545.00,11036.00,6008611.00,550.00,-5.00
53,1,2017-07-13,NLIC,553,2200.00,2146.00,2148.00,21241.00,45781444.00,2164.00,-16.00
54,1,2017-07-13,AHPC,27,280.00,276.00,276.00,7140.00,1980770.00,278.00,-2.00
55,1,2017-07-16,ADBL,47,435.00,430.00,433.00,4465.00,1927023.00,435.00,-2.00
56,1,2017-07-16,NBL,64,371.00,365.00,368.00,23050.00,8459033.00,364.00,4.00
57,1,2017-07-16,NMB,43,545.00,540.00,545.00,6607.00,3576007.00,545.00,0.00
58,1,2017-07-16,NLIC,596,2160.00,2140.00,2150.00,10115.00,21693779.00,2148.00,2.00
59,1,2017-07-16,AHPC,26,281.00,271.00,276.00,2554.00,702600.00,276.00,0.00
60,1,2017-07-17,ADBL,74,448.00,433.00,448.00,16129.00,7096066.00,433.00,15.00
61,1,2017-07-17,NBL,73,384.00,370.00,379.00,26755.00,10059486.00,368.00,11.00
62,1,2017-07-17,NMB,45,553.00,540.00,551.00,8427.00,4622090.00,545.00,6.00
63,1,2017-07-17,NLIC,506,2169.00,2140.00,2168.00,16168.00,34823511.00,2150.00,18.00
64,1,2017-07-17,AHPC,33,284.00,270.00,284.00,8159.00,2238220.00,276.00,8.00
